IDSub ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,7,8,9,10,2,6,15,12,1,5,3,11,14,4,16,13
2,8,11,14,10,1,13,5,7,9,6,4,12,2,3,15,16
3,13,8,6,9,7,3,16,11,1,4,12,10,5,2,15,14
4,4,2,6,13,14,15,11,16,3,8,9,10,5,1,7,12
5,3,10,11,13,6,15,7,8,9,4,5,14,2,1,12,16
6,13,5,2,4,10,3,16,11,1,9,14,7,12,15,8,6
7,6,3,5,10,11,13,14,16,1,7,9,12,4,2,8,15
8,7,5,3,11,9,10,15,12,1,2,16,13,4,6,8,14
9,2,11,12,15,6,13,5,7,10,8,4,14,3,1,9,16
10,9,2,3,10,11,14,12,16,1,7,5,13,8,4,6,15
11,5,2,4,11,9,12,14,13,1,7,10,15,6,3,8,16
12,9,5,10,3,7,11,12,16,1,13,4,8,6,2,14,15
13,5,6,13,15,9,8,12,14,2,3,4,16,11,1,7,10
14,10,5,9,3,7,11,12,16,1,13,4,8,6,2,14,15
15,10,5,9,4,7,13,14,16,1,11,3,8,6,2,12,15
16,7,6,3,8,9,10,13,15,1,4,11,12,2,5,14,16
17,3,6,7,13,10,15,11,12,5,4,9,14,2,1,8,16
18,5,7,9,6,10,12,11,16,2,13,4,8,3,1,14,15
19,5,3,6,9,11,14,13,15,2,7,10,12,4,1,8,16
20,9,5,10,4,7,12,16,15,1,11,3,8,6,2,14,13
21,6,3,2,16,12,9,13,14,1,5,15,10,8,7,4,11
22,5,3,7,10,8,12,13,15,1,9,4,11,6,2,14,16
23,8,1,4,16,14,13,7,15,6,5,9,12,11,2,3,10
24,6,3,5,9,12,13,14,16,1,8,10,11,4,2,7,15
25,6,3,5,9,11,14,13,15,1,7,10,12,4,2,8,16
26,12,1,3,14,10,7,11,16,2,13,9,8,15,5,4,6
27,6,9,10,4,7,8,14,13,1,5,3,12,11,2,15,16
28,10,6,11,4,5,9,12,15,1,14,2,8,7,3,16,13
29,1,6,11,13,10,14,12,8,3,2,9,15,4,5,7,16
30,4,8,5,16,9,13,11,10,6,2,12,15,1,3,7,14
31,6,2,5,9,11,15,14,10,1,4,16,12,8,3,7,13
32,9,7,11,4,6,12,10,16,1,13,3,8,5,2,15,14
